date,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30
1/1/2016,283.6,10.7,402.8,6.9
1/2/2016,236.1,9,340.6,5.7
1/3/2016,285,10.9,416.1,7
1/4/2016,305.6,11.5,405.7,6.9
1/5/2016,291.6,11.1,395.2,6.8
1/6/2016,240.5,9.6,387.3,6.6
1/7/2016,309,11.8,446.9,7.5
1/8/2016,305.3,11.6,412.9,6.8
1/9/2016,266.3,10.6,369.9,6.4
1/10/2016,290.5,11.4,399.7,6.8
1/11/2016,253.7,9.5,391.2,6.6
1/12/2016,267.4,10.2,393.6,6.6
1/1/2017,306.2,12,410.6,7
1/2/2017,285.4,11.1,413.7,7
1/3/2017,258.9,10.1,392.2,6.6
1/4/2017,272.2,10.8,414.5,6.9
1/5/2017,320.2,12.2,418.8,7
1/6/2017,296.5,11.4,420.1,7
1/7/2017,281.1,11.3,445.1,7.6
1/8/2017,295.9,11.6,423.1,7.1
1/9/2017,267.4,10.3,377.5,6.4
1/10/2017,303.6,11.7,418.8,7
1/11/2017,314.4,11.7,406.7,6.7
1/12/2017,309,11.7,404.7,6.8
1/1/2018,328.5,12.3,437.6,7.2
1/2/2018,310.9,11.6,423,6.9
1/3/2018,306.2,11.7,414.4,6.9
1/4/2018,287.9,10.6,420.3,6.8
1/5/2018,292.5,10.6,391.9,6.4
1/6/2018,284.3,10.4,426.9,6.9
1/7/2018,320.6,11.8,425.4,6.9
1/8/2018,303.2,11.5,407,6.7
1/9/2018,289.5,10.5,413.3,6.8
1/10/2018,277.2,10.1,429.1,7
1/11/2018,289,10.5,415.1,6.7
1/12/2018,328.7,11.7,428.8,6.8
1/1/2019,290.1,10.6,409.3,6.7
1/2/2019,282.1,10.5,424.3,6.8
1/3/2019,266.3,9.9,403,6.6
1/4/2019,288.1,10.3,430,6.9
1/5/2019,289.3,10.5,414.4,6.7
1/6/2019,287,10.5,418.5,6.8
1/7/2019,291.3,10.2,434.4,7
1/8/2019,297.8,11.2,441.2,7.3
1/9/2019,307.1,11.1,443.4,7.2
1/10/2019,244.5,9,404.8,6.4
1/11/2019,274.2,9.5,411.8,6.5
1/12/2019,309.9,11.2,412.9,6.5
1/1/2020,268.1,10,396.9,6.4
1/2/2020,288,10.8,395,6.4
1/3/2020,291.4,11.3,470.5,7.8
1/4/2020,324.2,12.9,528,9
1/5/2020,362.4,14.2,573.7,10
1/6/2020,335.8,13.1,581.7,9.7
1/7/2020,313.2,13.9,544.5,9.7
1/8/2020,331,13.7,502.3,8.9
1/9/2020,325.5,13,502.6,8.5
1/10/2020,321.6,13.4,513.2,8.9
1/11/2020,344.5,13,528.4,8.8
1/12/2020,312.2,13.2,497.2,8.7
1/1/2021,295.3,13.5,509.2,9.2
1/2/2021,347.6,13.9,544.3,9.2
1/3/2021,321.1,13.4,537.3,9.3
1/4/2021,310.7,13.7,507.3,8.7
1/5/2021,328.1,13.6,545.7,9.2
1/6/2021,340.9,12.7,565.1,9.4
1/7/2021,344.1,13.7,520.6,8.5
1/8/2021,321.1,13.9,524.1,8.8
1/9/2021,335.1,13.9,507.8,8.5
1/10/2021,358.8,13.9,508.4,8.1
1/11/2021,350.9,13.7,517.9,8.2
1/12/2021,367.7,13.7,533.8,8.5
1/1/2022,364.5,13.2,521.8,8.3
1/2/2022,356.9,13,513.7,8.1
1/3/2022,361,13.1,502.4,8
1/4/2022,357.2,12.8,501.2,7.7
1/5/2022,341.4,12.5,475.7,7.4
1/6/2022,343.9,12.2,474.7,7.4
1/7/2022,336.2,12.1,476.5,7.4
1/8/2022,337.6,12.1,467.5,7.1
1/9/2022,339.1,12.1,460.4,7.1
1/10/2022,337.2,12.1,476.9,7.4
1/11/2022,329.3,11.9,453.1,7
1/12/2022,331,11.8,444.5,6.9
1/1/2023,328.8,11.5,449.7,7
1/2/2023,320.8,11.3,450.2,7
1/3/2023,317.3,11.2,454.9,7.1
1/4/2023,315.6,11.1,441,6.7
1/5/2023,313,11,448.6,7
1/6/2023,312.4,11,444.8,6.9
1/7/2023,311.2,10.9,444.8,6.8
1/8/2023,309.2,10.8,439.6,6.8
1/9/2023,310.1,10.6,440,6.7
1/10/2023,313.3,10.7,439.6,6.6
1/11/2023,308.5,10.6,432,6.5
1/12/2023,307.2,10.6,432.1,6.4
1/1/2024,306.8,10.6,439.7,6.7
1/2/2024,306.6,10.6,434.8,6.6
1/3/2024,306.3,10.6,434.5,6.6
1/4/2024,305.9,10.6,434.9,6.5
